ResponseId,Developer,Country,Continent,Age,RemoteWork,Employment,Student,Retired,Freelance,Work Looking,EdLevel,Personal Coding Interval,Professional Coding Interval, Salary ,Salary Category,,
1,None of these,NA,NA,Youth,NA,Unemployed,NO,NO,No,NO,NA,0,0, NA ,NA,,
2,Full Time,USA,North America,Adults,Remote,Unemployed,NO,NO,No,NO,Bachelor,17-20,9-12," 285,000 ",Very High,,
3,Full Time,USA,North America,Adults,Hybrid,Full-time,NO,NO,No,NO,Bachelor,25-28,21-24," 250,000 ",Very High,,
4,Full Time,USA,North America,Adults,Hybrid,Full-time,NO,NO,No,NO,Bachelor,9-12,5-8," 156,000 ",High,,
5,Full Time,Philippines,Asia,Adults,Remote,Full-time,NO,NO,Yes,NO,Bachelor,5-8,1-4," 23,456 ",Mid,,
6,Full Time,UK,Europe,Adults,Remote,Full-time,NO,NO,No,NO,Self-Study,21-24,21-24," 96,828 ",High,,
7,Full Time,USA,North America,Adults,Remote,Full-time,NO,NO,No,NO,Self-Study,1-4,1-4," 135,000 ",High,,
8,Full Time,USA,North America,Adults,Remote,Full-time,NO,NO,No,NO,Bachelor,5-8,1-4," 80,000 ",Mid,,
9,Part Time,Finland,Europe,Adults,Hybrid,Full-time,NO,NO,No,NO,Masters,17-20,13-16," 64,254 ",Mid,,
10,Full Time,India,Asia,Adults,NA,Full-time,NO,NO,No,YES,Bachelor,5-8,0, NA ,NA,,
11,Full Time,USA,North America,Adults,Remote,Unemployed,NO,NO,No,NO,Bachelor,13-16,1-4, NA ,NA,,
